0.09531,7.096,5.7964
0.09531,7.426,5.8084
-2.3026,6.8866,5.7994
0.09531,7.3364,5.7841
0.09531,7.442,5.7872
-2.3026,7.2514,5.7994
-2.3026,8.1215,5.7964
-2.3026,6.9423,5.8084
-2.3026,6.3615,5.7994
-2.3026,7.7808,5.7994
-2.3026,6.9148,5.7903
-2.3026,7.4182,5.7933
0.09531,6.8003,5.8024
0.09531,6.9995,5.7903
-2.3026,7.335,5.6351
-2.3026,7.1001,5.7903
-2.3026,7.0354,5.6351
-2.3026,6.5835,5.7811
-2.3026,6.6215,5.6316
-2.3026,6.8003,5.628
-2.3026,7.0818,5.6244
-2.3026,6.6282,5.6351
-2.3026,7.0835,5.7933
-2.3026,6.7323,5.8114
-2.3026,7.3884,5.7933
-2.3026,6.4299,5.7964
-2.3026,7.0818,5.7994
0.09531,7.1578,5.7964
-2.3026,6.9509,5.7841
-2.3026,6.4283,5.7933
-2.3026,6.7215,5.7964
0.09531,6.9028,5.778
-2.3026,6.471,5.7994
-2.3026,8.1215,5.7933
-2.3026,6.691,5.7903
-2.3026,6.387,5.8114
-2.3026,6.9774,5.9892
-2.3026,7.1671,5.8054
-2.3026,6.9306,5.7933
-2.3026,7.2429,5.7811
-2.3026,6.7359,5.6316
-2.3026,7.2219,5.6244
-2.3026,7.0032,5.7994
-2.3026,7.0068,5.8084
-2.3026,6.9783,5.8084
-2.3026,6.4725,5.7903
-2.3026,7.312,5.6351
-2.3026,6.9218,5.7903
-2.3026,7.4822,5.628
-2.3026,7.0759,5.7994
-2.3026,6.6269,5.7872
-2.3026,7.2065,5.7933
-2.3026,7.1998,5.7994
0.09531,7.2958,5.7994
-2.3026,6.8492,5.8024
-2.3026,7.0843,5.7933
-2.3026,6.8988,5.8024
0.09531,7.0784,5.6316
-2.3026,7.1586,5.7994
-2.3026,6.7582,5.7903
-2.3026,6.5412,5.7994
-2.3026,6.8534,5.7964
0.09531,7.547,5.628
-2.3026,7.2263,5.7933
-2.3026,6.7913,5.7964
-2.3026,7.0554,5.7933
-2.3026,8.3304,5.7994
-2.3026,6.3317,5.7841
-2.3026,6.866,5.6423
-2.3026,8.372,5.6423
-2.3026,7.0734,5.628
0.09531,7.3461,5.7872
-2.3026,7.1839,5.7994
-2.3026,6.8523,5.7994
-2.3026,6.3971,5.6351
0.09531,6.686,5.7964
-2.3026,8.3119,5.628
-2.3026,6.5252,5.7903
-2.3026,6.7628,5.7903
-2.3026,7.4254,5.8054
0.09531,6.8866,5.7994
-2.3026,7.1342,5.778
-2.3026,7.1116,5.6423
-2.3026,7.0784,5.7903
0.09531,7.4513,5.7964
-2.3026,7.0424,5.7872
0.09531,6.5794,5.7903
-2.3026,6.7191,5.6387
-2.3026,7.1763,5.6423
-2.3026,7.0301,5.7872
-2.3026,7.4956,5.7964
0.09531,7.7803,5.7964
-2.3026,7.0927,5.8024
-2.3026,6.8681,5.7903
-2.3026,7.9205,5.6351
-2.3026,7.0013,5.6351
-2.3026,6.8256,5.6351
-2.3026,6.4984,5.6208
-2.3026,6.5074,5.6387
-2.3026,7.3847,5.7749
0.09531,7.4794,5.7964
-2.3026,6.5134,5.8024
-2.3026,7.2321,5.7994
-2.3026,7.3159,5.7933
0.09531,7.6681,5.7994
-2.3026,6.5527,5.7903
-2.3026,7.135,5.7561
-2.3026,6.2598,5.6244
-2.3026,7.205,5.6351
-2.3026,6.7675,5.8144
0.09531,7.2978,5.9715
-2.3026,7.888,5.6423
-2.3026,7.1405,5.6387
0.09531,7.4844,5.6423
-2.3026,6.5654,5.7811
-2.3026,7.8213,5.6351
-2.3026,6.7276,5.7994
-2.3026,6.5266,5.7994
-2.3026,7.0767,5.6244
-2.3026,6.5397,5.7964
-2.3026,7.3186,5.8582
0.09531,7.5679,5.7592
-2.3026,7.4384,5.7841
0.09531,7.0767,5.6423
-2.3026,7.0935,5.6208
-2.3026,7.2443,5.7841
-2.3026,6.6135,5.8024
-2.3026,6.8534,5.8024
-2.3026,6.6122,5.7872
-2.3026,8.3114,5.6208
-2.3026,7.1671,5.7841
0.09531,7.3753,5.7964
-2.3026,6.7021,5.778
-2.3026,6.653,5.8024
-2.3026,7.0835,5.7933
0.09531,7.2131,6.0091
-2.3026,7.2057,5.8144
-2.3026,6.8795,5.7933
-2.3026,6.8069,5.7933
-2.3026,9.8894,5.9056
-2.3026,7.0563,5.7933
0.09531,7.442,5.7811
-2.3026,6.7347,5.8084
0.09531,6.6581,5.7903
0.09531,6.7547,5.8947
0.09531,9.6648,7.2486
0.09531,8.1967,5.9056
